Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D12.5mm_H25.0mm_P5.00mm,1,C_Polarized,
DRIVER1,Pololu_Breakout-16_15.2x20.3mm,1,Pololu_Breakout_A4988,
"FROMBC12V1, FROMBC5V1",TerminalBlock_bornier-2_P5.08mm,2,Conn_01x02,
"JST1, JST2, TOECRAN1, TOI2C1, TOSHIELDMOTEUR1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,5,Conn_01x02,
MOTEURS1,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,
TEENSY1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,
TORASP1,JST_XH_B1B-XH-AM_1x01_P2.50mm_Vertical,1,Conn_01x01,
