Designator,Mid X,Mid Y,Rotation,Layer
C1,175.91,-82.25,90.0,top
DRIVER1,192.16,-75.26,0.0,top
FROMBC12V1,158.15,-70.28,90.0,top
FROMBC5V1,185.79,-58.36,90.0,top
JST2,201.71,-91.7,180.0,top
MOTEURS1,173.48,-67.84,0.0,top
TEENSY1,207.155,-76.98,270.0,top
TOECRAN1,185.07,-91.7,180.0,top
TOI2C1,207.19,-65.97,270.0,top
TORASP1,198.64,-57.25,90.0,top
TOSHIELDMOTEUR1,157.53,-83.75,90.0,top
